,CustomerID,ItemCategory1,Item_Cat_1_count,Item_Cat_1_amount
0,1000001,1,4,61604
1,1000001,12,3,4194
2,1000001,14,1,11011
3,1000001,16,1,16446
4,1000001,2,1,12842
5,1000001,3,11,119859
6,1000001,4,2,5612
7,1000001,5,2,15749
8,1000001,6,1,16622
9,1000001,8,8,69542
10,1000002,1,31,413669
11,1000002,2,1,15870
12,1000002,5,13,80490
13,1000002,6,6,89995
14,1000002,8,25,210329
15,1000003,1,15,228578
16,1000003,18,1,3854
17,1000003,2,2,29054
18,1000003,3,1,10906
19,1000003,5,9,63426
20,1000003,8,1,5817
21,1000004,1,13,205987
22,1000005,1,18,194401
23,1000005,11,2,10548
24,1000005,14,1,11085
25,1000005,15,1,17374
26,1000005,16,3,25195
27,1000005,2,2,26132
28,1000005,3,1,10851
29,1000005,4,3,7746
30,1000005,5,20,116424
31,1000005,6,6,65740
32,1000005,7,5,74954
33,1000005,8,44,260551
34,1000006,1,8,124139
35,1000006,12,3,4562
36,1000006,18,3,9183
37,1000006,2,3,35997
38,1000006,3,5,59314
39,1000006,4,5,12572
40,1000006,5,12,75925
41,1000006,6,1,8210
42,1000006,8,6,49548
43,1000007,1,14,220034
44,1000007,11,1,7381
45,1000007,5,1,7012
46,1000008,1,22,347350
47,1000008,2,1,15941
48,1000008,3,1,13265
49,1000008,5,7,45885
50,1000008,6,3,52148
51,1000008,8,42,321956
52,1000009,1,11,149573
53,1000009,15,1,17387
54,1000009,16,2,29181
55,1000009,3,5,53948
56,1000009,5,9,51137
57,1000009,6,7,118792
58,1000009,7,1,16874
59,1000009,8,21,157068
60,1000010,1,46,699315
61,1000010,11,1,4574
62,1000010,12,6,10157
63,1000010,13,1,768
64,1000010,14,2,22840
65,1000010,17,1,5133
66,1000010,2,19,257427
67,1000010,3,16,187285
68,1000010,4,7,17540
69,1000010,5,80,586826
70,1000010,6,2,24862
71,1000010,7,1,20957
72,1000010,8,40,331802
73,1000011,1,7,90210
74,1000011,11,1,4556
75,1000011,16,2,24744
76,1000011,2,3,20459
